(B ((S nand) I)), nan, nan, -2.1763575558968458, -2.1763575558968458, -2.1763575558968458
((S nand) I), nan, -2.0637831539205798, -1.8886754834450645, -1.8886754834450645, -1.8886754834450645
(B (B ((S nand) I))), nan, nan, -2.58182266400501, -2.58182266400501, -2.58182266400501
S, -1.8612584495911983, -1.3213411980394345, -2.4221749291625274, -2.4221749291625274, -2.4221749291625274
I, -1.0896726351759414, -2.3942164763130287, -2.9274489800276804, -2.9274489800276804, -2.9274489800276804
C, -2.3303652410268456, -2.5223462180458336, -2.50224429371731, -2.50224429371731, -2.50224429371731
B, -3.6196323633329355, -3.8116133403519235, -1.8738711056725197, -1.8738711056725197, -1.8738711056725197
((B (B ((S nand) I))) nand), nan, nan, -3.092648287771001, -3.092648287771001, -3.092648287771001
(S nand), nan, -1.3706359733606344, -2.1763575558968458, -2.1763575558968458, -2.1763575558968458
nand, -0.95673822981245, -1.84088483919284, -2.094666893147915, -2.094666893147915, -2.094666893147915
