(((((BCB I) +) 2) (((BCB +) *) 0)) 2), -3.0691376179702656, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824
((((BCB I) +) 2) (((BCB +) *) 0)), -4.3012812992628975, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409
((((BCB I) +) 2) (((BCB +) *) 2)), -4.706746407371062, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419
(((BCB I) +) 2), -5.0597527415633365, -3.762284798530212, -3.5725481886482875, -3.5725481886482875, -3.5725481886482875, -3.5725481886482875, -3.5725481886482875, -3.5725481886482875, -3.5725481886482875, -3.5725481886482875
(BCB +), -2.5542268045726004, -2.509521830034843, -2.5078374516558593, -2.5078374516558593, -2.5078374516558593, -2.5078374516558593, -2.5078374516558593, -2.5078374516558593, -2.5078374516558593, -2.5078374516558593
(BCB I), -3.87598264455492, -3.762284798530211, -3.760600420151227, -3.760600420151227, -3.760600420151227, -3.760600420151227, -3.760600420151227, -3.760600420151227, -3.760600420151227, -3.760600420151227
(((BCB +) *) 2), -4.500136953627914, -4.013599226811117, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409, -4.065982069702409
(((BCB +) *) 0), -4.094671845519749, -3.608134118702953, -3.6605169615942446, -3.6605169615942446, -3.6605169615942446, -3.6605169615942446, -3.6605169615942446, -3.6605169615942446, -3.6605169615942446, -3.6605169615942446
(((BCB +) +) 2), -4.500136953627914, -4.3012812992628975, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419
((BCB +) +), -3.6528390932407104, -4.013599226811117, -4.117275364089959, -4.117275364089959, -4.117275364089959, -4.117275364089959, -4.117275364089959, -4.117275364089959, -4.117275364089959, -4.117275364089959
((BCB +) *), -2.959691912680765, -3.3204520462511717, -3.4241281835300144, -3.4241281835300144, -3.4241281835300144, -3.4241281835300144, -3.4241281835300144, -3.4241281835300144, -3.4241281835300144, -3.4241281835300144
2, -3.0, -2.41651283055467, -2.4394645626917097, -2.4943054132217988, -2.4943054132217988, -2.4943054132217988, -2.4943054132217988, -2.4943054132217988, -2.4943054132217988, -2.4943054132217988, -2.4943054132217988
1, -3.0, -3.194862010316769, -2.8535157490191048, -2.7498420312968723, -2.7498420312968723, -2.7498420312968723, -2.7498420312968723, -2.7498420312968723, -2.7498420312968723, -2.7498420312968723, -2.7498420312968723
0, -3.0, -3.335130205310419, -3.5728725535058103, -3.6228543883625037, -3.6228543883625037, -3.6228543883625037, -3.6228543883625037, -3.6228543883625037, -3.6228543883625037, -3.6228543883625037, -3.6228543883625037
+, -3.0, -2.83065947637722, -3.229606556624502, -3.277330029525668, -3.277330029525668, -3.277330029525668, -3.277330029525668, -3.277330029525668, -3.277330029525668, -3.277330029525668, -3.277330029525668
*, -3.0, -2.929566115790121, -3.350808384894256, -3.3979330611047196, -3.3979330611047196, -3.3979330611047196, -3.3979330611047196, -3.3979330611047196, -3.3979330611047196, -3.3979330611047196, -3.3979330611047196
I, -4.0, -4.973489934256646, -4.709666783051495, -4.7350319305794155, -4.7350319305794155, -4.7350319305794155, -4.7350319305794155, -4.7350319305794155, -4.7350319305794155, -4.7350319305794155, -4.7350319305794155
((((BCB +) *) 0) 1), -2.959691912680765, -3.0691376179702656, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824
(* 0), -2.959691912680765, nan, nan, nan, nan, nan, nan, nan, nan, nan
(* 2), -2.959691912680765, -3.0691376179702656, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824, -3.0674532395912824
BCB, -3.0, -2.4098580276751895, -2.4681240917790612, -2.4665079640816376, -2.4665079640816376, -2.4665079640816376, -2.4665079640816376, -2.4665079640816376, -2.4665079640816376, -2.4665079640816376, -2.4665079640816376
((((BCB I) +) 2) *), -4.500136953627914, -4.3012812992628975, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419, -4.35366414215419
((BCB I) +), -4.386808268320911, -4.524424850577108, -4.587278993335695, -4.587278993335695, -4.587278993335695, -4.587278993335695, -4.587278993335695, -4.587278993335695, -4.587278993335695, -4.587278993335695
