1, -3.314646189190357, -1.7971200038571136, -1.9719147625897457, -1.6604873111879446, -1.6581048954986655, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143, -1.6591960609394936, -2.1814974700444143
0, -1.5515187720361934, -1.9490169824887387, -2.4581934784812836, -1.8268818681664096, -1.82688186816641, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418, -1.82688186816641, -2.052124284432418
+, -1.4250771502097108, -2.597034540048984, -2.5116047323950843, -3.1779467424636367, -3.3643203048874817, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347, -3.3749306962326213, -3.1081971182973347
*, -1.6139651496809808, -2.63508974091444, -2.8595865720814757, -3.38593485546996, -3.598628022497104, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095, -3.471270845387122, -3.4522372433269095
S, -2.37679635995027, -1.774474873562368, -1.5514093059021759, -2.5882149163232007, -2.499259318602706, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893, -2.5002714622695543, -2.34382454875893
((S +) ((S +) I)), nan, nan, nan, -4.426650856991239, -4.052244198111554, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871, -4.034659279739496, -3.878212366228871
I, -2.3482054665142202, -2.7457036769667655, -3.9168516996043006, -4.325148702943007, -4.244780900459061, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826, -4.37708967922145, -4.220642765710826
C, -3.5337573274789014, -3.9312555379314467, -3.725515421304473, -3.8091204236091176, -3.809120423609118, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937, -3.809120423609118, -3.6526735100984937
B, -2.358545060947235, -2.7560432713997804, -2.550303154772807, -2.068603886406673, -2.12173428100121, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302, -2.1227751177321545, -1.9663282042215302
((S *) ((S +) I)), nan, nan, nan, -4.832115965099405, -4.275387749425763, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081
((S *) (+ 1)), nan, nan, -3.5341521108418155, -3.5793529966040367, -3.7157719614903404, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583, -3.6981870431182826, -3.5417401296076583
